Catchment ID,River,Receiving Sea,Continent,Catchment Area [km²], MMPW Generation per capita [kg d-1],Population,MMPW generated in the catchment [tons y-1],Microplastic load Model 1 [tons y-1] ,Microplastic load Model 2 [tons y-1] ,Macroplastic load  [tons y-1] 
1203,Columbia,Pacific,North America,653066,0.006,7285004,16912,9,2,4
695,Chiloango,Atlantic,Africa,12997,0.04,1157405,16900,9,2,4
663,St. John,Atlantic,Africa,16158,0.061,750227,16744,8,2,4
536,Tjipunagara,Java Sea,Oceania,1436,0.047,971299,16689,8,2,4
517,Murung,Java Sea,Oceania,60352,0.047,958658,16472,8,2,4
709,Rovuma,Indian,Africa,154716,0.018,2518777,16438,8,2,4
666,Ayensu,Gulf of Guinea,Africa,2620,0.032,1382046,16377,8,2,4
783,Bashee,Indian,Africa,6094,0.134,333204,16274,8,2,4
445,Yan Oya,Indian,Asia,1655,0.299,147813,16145,8,2,4
660,St. Paul,Atlantic,Africa,20321,0.044,1012142,16133,8,2,4
1423,Jacuí,Atlantic,South America,71718,0.017,2547248,16075,8,2,4
290,Cheongchun,Yellow Sea,Asia,5724,0.048,908733,15960,8,2,4
97,Paz,Pacific,North America,2177,0.07,621008,15946,8,2,4
612,Miliane,Mediterranean,Africa,2313,0.088,492768,15871,8,2,4
458,Davai,Pacific,Oceania,1724,0.062,693739,15660,7,2,4
95,Achigate,Pacific,North America,1192,0.105,397261,15204,7,2,4
430,Bharathpuzha,Arabian Sea,Asia,6162,0.009,4745373,15181,7,2,4
1277,Trinity,Gulf of Mexico,North America,46078,0.007,6185419,15086,7,2,4
479,Asahan,Mallaca Strait,Oceania,5607,0.047,865217,14866,7,2,4
1237,"Sacramento, San Joaquin",San Francisco Bay,North America,124453,0.007,6049696,14755,7,2,4
303,Han,Yellow Sea,Asia,25259,0.002,16513530,14546,7,2,4
90,Nahualate,Pacific,North America,1543,0.105,378852,14499,7,2,4
922,Tagus,Atlantic,Europe,70396,0.005,7211560,14459,7,2,3
812,Küçük Menderes,Mediterranean,Eurasia,3421,0.039,1006604,14369,6,2,3
1362,Jaguaribe,Atlantic,South America,73173,0.017,2211277,13955,6,2,3
424,Da Nhim,South China Sea,Asia,3005,0.09,422064,13856,6,2,3
842,Strimonas,Mediterranean,Europe,16766,0.04,939084,13767,6,2,3
1093,Hingol,Arabian Sea,Asia,34498,0.09,411984,13575,6,1,3
78,Aguan,Caribbean,North America,10730,0.079,471511,13566,6,1,3
1301,Sinú,Caribbean,South America,14007,0.034,1099468,13515,6,1,3
772,Umvoti,Indian,Africa,2721,0.134,276365,13498,6,1,3
518,Barito,Java Sea,Oceania,3775,0.047,783615,13464,6,1,3
469,Padas,South China Sea,Asia,9163,0.112,326170,13348,6,1,3
162,Rewa,Pacific,Oceania,3044,0.151,241245,13260,6,1,3
46,Yuna,Atlantic,North America,5478,0.039,914049,13126,6,1,3
1404,Vitor,Pacific,South America,13535,0.039,925514,13074,5,1,3
465,Kinabatangan,South China Sea,Asia,16021,0.112,316321,12946,5,1,3
698,Wami,Indian,Africa,41382,0.02,1762817,12805,5,1,3
421,Cai,South China Sea,Asia,1906,0.09,387203,12712,5,1,3
300,Imjin,Yellow Sea,Asia,8120,0.027,1259995,12606,5,1,3
827,Rioni,Black Sea,Eurasia,13467,0.035,977365,12575,5,1,3
521,Sadang,Karimata Strait,Oceania,6438,0.047,730465,12551,5,1,3
485,Alas,Indian,Oceania,11895,0.047,729365,12532,5,1,3
807,Göksu,Mediterranean,Eurasia,10389,0.039,871991,12447,5,1,3
620,Loukos,Atlantic,Africa,3727,0.049,688581,12341,5,1,3
1253,Los Angeles,Pacific,North America,2031,0.007,5044039,12302,5,1,3
1366,Piura,Pacific,South America,9528,0.039,846683,11960,5,1,3
337,Tanshui,Taiwan Strait,Asia,2694,0.006,5787610,11913,5,1,3
96,Los Esclavos,Pacific,North America,2048,0.105,308230,11797,5,1,3
742,Buzi,Indian,Africa,28489,0.024,1313136,11709,5,1,3
754,Swakop,Atlantic,Africa,29377,0.097,330700,11686,5,1,3
648,Konkoure,Atlantic,Africa,16735,0.025,1255690,11644,4,1,3
618,Mharhar,Atlantic,Africa,1133,0.049,648983,11632,4,1,3
705,Bengo,Atlantic,Africa,10980,0.045,701174,11568,4,1,3
101,Grande de San Miguel,Pacific,North America,2331,0.051,624393,11564,4,1,3
859,Neretva,Mediterranean,Europe,5933,0.056,558617,11456,4,1,3
